country,totalCases,date
United Arab Emirates,747909,2021/12/24
Ireland,747895,2021/12/29
United Arab Emirates,746557,2021/12/23
United Arab Emirates,745555,2021/12/22
United Arab Emirates,744890,2021/12/21
United Arab Emirates,744438,2021/12/20
United Arab Emirates,744137,2021/12/19
United Arab Emirates,743586,2021/12/17
United Arab Emirates,743586,2021/12/18
United Arab Emirates,743352,2021/12/16
United Arab Emirates,743152,2021/12/15
Bulgaria,740682,2021/12/29
Denmark,739071,2021/12/28
Bulgaria,737233,2021/12/28
Bulgaria,735998,2021/12/27
Bulgaria,734720,2021/12/26
Bulgaria,733882,2021/12/25
Bulgaria,733139,2021/12/24
Bulgaria,732106,2021/12/23
Ireland,731467,2021/12/28
Bulgaria,730140,2021/12/22
Bulgaria,728677,2021/12/21
Bulgaria,726794,2021/12/20
Denmark,726071,2021/12/27
Bulgaria,724793,2021/12/19
Bulgaria,724337,2021/12/18
Tunisia,724092,2021/12/28
Tunisia,724092,2021/12/29
Bulgaria,723433,2021/12/17
Tunisia,723422,2021/12/27
Tunisia,722795,2021/12/25
Tunisia,722795,2021/12/26
Ireland,722461,2021/12/27
Tunisia,722443,2021/12/24
Tunisia,722123,2021/12/23
Bulgaria,721819,2021/12/16
Tunisia,721797,2021/12/22
Tunisia,721450,2021/12/21
Tunisia,721103,2021/12/20
Tunisia,721031,2021/12/19
Tunisia,720853,2021/12/18
Tunisia,720518,2021/12/16
Tunisia,720518,2021/12/17
Bulgaria,720376,2021/12/15
Tunisia,720143,2021/12/15
Lebanon,719103,2021/12/29
Lebanon,715950,2021/12/28
Ireland,715726,2021/12/26
Lebanon,713670,2021/12/27
Lebanon,712570,2021/12/26
Lebanon,711259,2021/12/25
Lebanon,709242,2021/12/24
Lebanon,707123,2021/12/23
Lebanon,705477,2021/12/22
Ireland,705322,2021/12/25
Croatia,703720,2021/12/29
Lebanon,703555,2021/12/21
Lebanon,701749,2021/12/20
Lebanon,700943,2021/12/19
Lebanon,699464,2021/12/18
Croatia,697952,2021/12/28
Lebanon,697774,2021/12/17
Belarus,696220,2021/12/29
Lebanon,696168,2021/12/16
Belarus,694727,2021/12/28
Lebanon,694256,2021/12/15
Belarus,694226,2021/12/27
Croatia,693813,2021/12/27
Belarus,693584,2021/12/26
Croatia,693253,2021/12/26
Croatia,693102,2021/12/25
Belarus,692601,2021/12/25
Ireland,691557,2021/12/24
Belarus,691072,2021/12/24
Croatia,689831,2021/12/24
Belarus,689151,2021/12/23
Belarus,687948,2021/12/22
Croatia,686590,2021/12/23
Belarus,686294,2021/12/21
Belarus,685462,2021/12/20
Denmark,685036,2021/12/24
Denmark,685036,2021/12/25
Denmark,685036,2021/12/26
Belarus,684628,2021/12/19
Belarus,683172,2021/12/18
Croatia,682759,2021/12/22
Belarus,681517,2021/12/17
Ireland,680375,2021/12/23
Belarus,679873,2021/12/16
Croatia,678533,2021/12/21
Belarus,678277,2021/12/15
Croatia,675730,2021/12/20
Croatia,675363,2021/12/19
Denmark,673807,2021/12/23
Croatia,673427,2021/12/18
Ireland,672964,2021/12/22
Croatia,669940,2021/12/17
Ireland,666657,2021/12/21
Croatia,666162,2021/12/16
Croatia,662397,2021/12/15
Ireland,661388,2021/12/20
Denmark,661320,2021/12/22
Ireland,656600,2021/12/19
Ireland,651476,2021/12/18
Denmark,647934,2021/12/21
Ireland,644143,2021/12/17
Ireland,640548,2021/12/16
Ireland,636407,2021/12/15
Denmark,627356,2021/12/20
Guatemala,626675,2021/12/29
South Korea,625967,2021/12/29
Guatemala,625854,2021/12/28
Guatemala,625257,2021/12/27
Guatemala,625166,2021/12/26
Guatemala,625127,2021/12/25
Guatemala,625029,2021/12/24
Guatemala,624866,2021/12/23
Guatemala,624544,2021/12/22
Guatemala,624171,2021/12/21
Guatemala,623795,2021/12/20
Guatemala,623731,2021/12/19
Guatemala,623662,2021/12/18
Guatemala,623449,2021/12/17
Guatemala,623195,2021/12/16
Guatemala,622866,2021/12/15
South Korea,620938,2021/12/28
Denmark,617274,2021/12/19
Azerbaijan,615842,2021/12/29
South Korea,615532,2021/12/27
Azerbaijan,615312,2021/12/28
Azerbaijan,614936,2021/12/27
Azerbaijan,614630,2021/12/26
Azerbaijan,614119,2021/12/25
Azerbaijan,613618,2021/12/24
Azerbaijan,613059,2021/12/23
Azerbaijan,612205,2021/12/22
South Korea,611670,2021/12/26
Azerbaijan,611557,2021/12/21
Azerbaijan,610895,2021/12/20
Azerbaijan,610318,2021/12/19
Azerbaijan,609397,2021/12/18
Denmark,609062,2021/12/18
Azerbaijan,608815,2021/12/17
Azerbaijan,608060,2021/12/16
South Korea,607463,2021/12/25
Azerbaijan,607076,2021/12/15
South Korea,602045,2021/12/24
Denmark,600468,2021/12/17
South Korea,596209,2021/12/23
South Korea,589978,2021/12/22
Denmark,589274,2021/12/16
Sri Lanka,586183,2021/12/29
Bolivia,585624,2021/12/29
Sri Lanka,584586,2021/12/28
Sri Lanka,584107,2021/12/27
Sri Lanka,583649,2021/12/26
Sri Lanka,583251,2021/12/25
South Korea,583065,2021/12/21
Sri Lanka,582722,2021/12/24
Sri Lanka,582149,2021/12/23
Sri Lanka,581595,2021/12/22
Sri Lanka,580922,2021/12/21
Bolivia,580690,2021/12/28
Sri Lanka,580209,2021/12/20
Sri Lanka,579685,2021/12/19
Denmark,579275,2021/12/15
Sri Lanka,579134,2021/12/18
Sri Lanka,578439,2021/12/17
Bolivia,577808,2021/12/27
Sri Lanka,577724,2021/12/16
Sri Lanka,576966,2021/12/15
Bolivia,576602,2021/12/26
South Korea,575615,2021/12/20
Bolivia,575247,2021/12/24
Bolivia,575247,2021/12/25
Bolivia,570876,2021/12/23
Costa Rica,570556,2021/12/28
Costa Rica,570556,2021/12/29
South Korea,570414,2021/12/19
Bolivia,568967,2021/12/21
Bolivia,568967,2021/12/22
Costa Rica,568860,2021/12/21
Costa Rica,568860,2021/12/22
Costa Rica,568860,2021/12/23
Costa Rica,568860,2021/12/24
Costa Rica,568860,2021/12/25
Costa Rica,568860,2021/12/26
Costa Rica,568860,2021/12/27
Costa Rica,568538,2021/12/17
Costa Rica,568538,2021/12/18
Costa Rica,568538,2021/12/19
Costa Rica,568538,2021/12/20
Costa Rica,568428,2021/12/16
Costa Rica,568373,2021/12/15
South Korea,565098,2021/12/18
Bolivia,564747,2021/12/19
Bolivia,564747,2021/12/20
Bolivia,563858,2021/12/18
Bolivia,560684,2021/12/17
South Korea,558864,2021/12/17
Bolivia,558565,2021/12/16
Bolivia,556765,2021/12/15
Saudi Arabia,554665,2021/12/29
Saudi Arabia,553921,2021/12/28
Saudi Arabia,553319,2021/12/27
Saudi Arabia,552795,2021/12/26
Saudi Arabia,552406,2021/12/25
Saudi Arabia,552081,2021/12/24
Saudi Arabia,551749,2021/12/23
South Korea,551551,2021/12/16
Saudi Arabia,551462,2021/12/22
Saudi Arabia,551210,2021/12/21
Saudi Arabia,550988,2021/12/20
Saudi Arabia,550842,2021/12/19
Saudi Arabia,550738,2021/12/18
Saudi Arabia,550622,2021/12/17
Saudi Arabia,550542,2021/12/16
Saudi Arabia,550457,2021/12/15
South Korea,544117,2021/12/15
Ecuador,542960,2021/12/28
Ecuador,542960,2021/12/29
Ecuador,542341,2021/12/27
Ecuador,540122,2021/12/24
Ecuador,540122,2021/12/25
Ecuador,540122,2021/12/26
Ecuador,538218,2021/12/21
Ecuador,538218,2021/12/22
Ecuador,538218,2021/12/23
Ecuador,537032,2021/12/20
Ecuador,536129,2021/12/17
Ecuador,536129,2021/12/18
Ecuador,536129,2021/12/19
Ecuador,535414,2021/12/16
Ecuador,534176,2021/12/15
Myanmar,530276,2021/12/29
Myanmar,530000,2021/12/28
Myanmar,529813,2021/12/27
Myanmar,529613,2021/12/26
Myanmar,529503,2021/12/25
Myanmar,529327,2021/12/24
Myanmar,529114,2021/12/23
Myanmar,528838,2021/12/22
Myanmar,528639,2021/12/21
Myanmar,528380,2021/12/20
Myanmar,528253,2021/12/19
Myanmar,528101,2021/12/18
Myanmar,527931,2021/12/17
Myanmar,527714,2021/12/16
Myanmar,527503,2021/12/15
Oceania,524562,2021/12/29
Lithuania,515892,2021/12/29
Lithuania,513830,2021/12/28
Lithuania,512231,2021/12/27
Lithuania,511580,2021/12/26
Lithuania,510752,2021/12/25
Lithuania,509497,2021/12/24
Lithuania,507916,2021/12/23
Lithuania,506144,2021/12/22
Lithuania,504422,2021/12/21
Lithuania,502969,2021/12/20
Oceania,502695,2021/12/28
Lithuania,502345,2021/12/19
Lithuania,500986,2021/12/18
Lithuania,499262,2021/12/17
Lithuania,497643,2021/12/16
Lithuania,495686,2021/12/15
Panama,491043,2021/12/29
Panama,489695,2021/12/28
Panama,488341,2021/12/27
Panama,487767,2021/12/26
Panama,487204,2021/12/25
Panama,485512,2021/12/23
Panama,485512,2021/12/24
Oceania,484963,2021/12/27
Panama,484793,2021/12/22
Panama,483638,2021/12/21
Panama,483386,2021/12/20
Panama,483063,2021/12/19
Panama,482677,2021/12/17
Panama,482677,2021/12/18
Panama,481824,2021/12/16
Panama,481438,2021/12/15
Oceania,472881,2021/12/26
Palestine,469748,2021/12/29
Palestine,469452,2021/12/28
Palestine,468619,2021/12/27
Palestine,467682,2021/12/23
Palestine,467682,2021/12/24
Palestine,467682,2021/12/25
Palestine,467682,2021/12/26
Palestine,467391,2021/12/22
Palestine,467058,2021/12/21
Palestine,466669,2021/12/20
Paraguay,465824,2021/12/29
Paraguay,465564,2021/12/27
Paraguay,465564,2021/12/28
Palestine,465094,2021/12/15
Palestine,465094,2021/12/16
Palestine,465094,2021/12/17
Palestine,465094,2021/12/18
Palestine,465094,2021/12/19
Paraguay,465028,2021/12/23
Paraguay,465028,2021/12/24
Paraguay,465028,2021/12/25
Paraguay,465028,2021/12/26
Paraguay,464793,2021/12/21
Paraguay,464793,2021/12/22
Paraguay,464703,2021/12/20
Paraguay,464096,2021/12/17
Paraguay,464096,2021/12/18
Paraguay,464096,2021/12/19
Paraguay,464004,2021/12/15
Paraguay,464004,2021/12/16
Oceania,462953,2021/12/25
Slovenia,460435,2021/12/29
Slovenia,458568,2021/12/28
Slovenia,456755,2021/12/27
Slovenia,456057,2021/12/26
Slovenia,455386,2021/12/25
Slovenia,454298,2021/12/24
Oceania,453358,2021/12/24
Slovenia,453093,2021/12/23
Slovenia,451966,2021/12/22
Slovenia,450703,2021/12/21
Slovenia,449149,2021/12/20
Slovenia,448562,2021/12/19
Slovenia,447794,2021/12/18
Slovenia,446506,2021/12/17
Slovenia,445228,2021/12/16
Venezuela,443983,2021/12/28
Venezuela,443983,2021/12/29
Slovenia,443873,2021/12/15
Oceania,443343,2021/12/23
Venezuela,443332,2021/12/26
Venezuela,443332,2021/12/27
Venezuela,442999,2021/12/24
Venezuela,442999,2021/12/25
Venezuela,442431,2021/12/23
Venezuela,442178,2021/12/22
Venezuela,441937,2021/12/21
Venezuela,441562,2021/12/19
Venezuela,441562,2021/12/20
Venezuela,440784,2021/12/18
Venezuela,440398,2021/12/17
Venezuela,439935,2021/12/16
Venezuela,439444,2021/12/15
Oceania,435003,2021/12/22
Oceania,426458,2021/12/21
Oceania,420842,2021/12/20
Dominican Republic,416270,2021/12/29
Oceania,416229,2021/12/19
Kuwait,416077,2021/12/29
Kuwait,415678,2021/12/28
Dominican Republic,415359,2021/12/28
Kuwait,415349,2021/12/27
Kuwait,415151,2021/12/26
Kuwait,414911,2021/12/25
Kuwait,414761,2021/12/24
Dominican Republic,414704,2021/12/27
Kuwait,414591,2021/12/23
Kuwait,414413,2021/12/22
Kuwait,414270,2021/12/21
Dominican Republic,414226,2021/12/26
Kuwait,414178,2021/12/20
Kuwait,414098,2021/12/19
Kuwait,414023,2021/12/18
Kuwait,413972,2021/12/17
Kuwait,413891,2021/12/16
Dominican Republic,413887,2021/12/25
Kuwait,413847,2021/12/15
Dominican Republic,413191,2021/12/24
Dominican Republic,412685,2021/12/23
Dominican Republic,412263,2021/12/22
Oceania,412128,2021/12/18
Dominican Republic,412022,2021/12/21
Dominican Republic,411883,2021/12/20
Dominican Republic,411721,2021/12/19
Dominican Republic,411449,2021/12/18
Dominican Republic,411266,2021/12/17
Dominican Republic,411014,2021/12/16
Dominican Republic,410926,2021/12/15
Ethiopia,410445,2021/12/29
Uruguay,410311,2021/12/29
Uruguay,408894,2021/12/28
Oceania,408207,2021/12/17
Uruguay,407981,2021/12/27
Uruguay,407381,2021/12/26
Uruguay,407099,2021/12/25
Uruguay,406739,2021/12/24
Uruguay,406127,2021/12/23
Ethiopia,405745,2021/12/28
Uruguay,405681,2021/12/22
Uruguay,405236,2021/12/21
Uruguay,404821,2021/12/20
Uruguay,404460,2021/12/19
Uruguay,404255,2021/12/18
Oceania,404060,2021/12/16
Uruguay,403899,2021/12/17
Uruguay,403582,2021/12/16
Uruguay,403293,2021/12/15
Ethiopia,400560,2021/12/27
Oceania,400140,2021/12/15
Ethiopia,398696,2021/12/26
Ethiopia,395750,2021/12/25
Ethiopia,390737,2021/12/24
Mongolia,389089,2021/12/29
Mongolia,388755,2021/12/27
Mongolia,388755,2021/12/28
Mongolia,388598,2021/12/26
Mongolia,388311,2021/12/24
Mongolia,388311,2021/12/25
Mongolia,387875,2021/12/22
Mongolia,387875,2021/12/23
Mongolia,387684,2021/12/21
Libya,387543,2021/12/29
Norway,387196,2021/12/29
Mongolia,387116,2021/12/19
Mongolia,387116,2021/12/20
Libya,386878,2021/12/28
Mongolia,386787,2021/12/18
Mongolia,386520,2021/12/17
Libya,386279,2021/12/27
Mongolia,386258,2021/12/16
Ethiopia,386164,2021/12/23
Mongolia,385973,2021/12/15
Libya,385398,2021/12/26
Libya,384663,2021/12/24
Libya,384663,2021/12/25
Libya,384005,2021/12/23
Egypt,383857,2021/12/29
Libya,383445,2021/12/22
Egypt,383003,2021/12/28
Libya,382884,2021/12/21
Norway,382789,2021/12/28
Ethiopia,382371,2021/12/22
Libya,382341,2021/12/20
Egypt,382194,2021/12/27
Libya,381749,2021/12/19
Egypt,381343,2021/12/26
Libya,381023,2021/12/17
Libya,381023,2021/12/18
Egypt,380520,2021/12/25
Libya,380464,2021/12/16
Libya,379816,2021/12/15
Egypt,379654,2021/12/24
Honduras,379402,2021/12/28
Honduras,379402,2021/12/29
Ethiopia,379379,2021/12/21
Honduras,379276,2021/12/27
Honduras,379073,2021/12/25
Honduras,379073,2021/12/26
Egypt,378843,2021/12/23
Honduras,378685,2021/12/15
Honduras,378685,2021/12/16
Honduras,378685,2021/12/17
Honduras,378685,2021/12/18
Honduras,378685,2021/12/19
Honduras,378685,2021/12/20
Honduras,378685,2021/12/21
Honduras,378685,2021/12/22
Honduras,378685,2021/12/23
Honduras,378685,2021/12/24
Norway,378087,2021/12/27
Egypt,377960,2021/12/22
Egypt,377081,2021/12/21
Ethiopia,377056,2021/12/20
Ethiopia,376375,2021/12/19
Egypt,376233,2021/12/20
Ethiopia,375810,2021/12/18
Moldova,375358,2021/12/29
Egypt,375330,2021/12/19
Moldova,375065,2021/12/28
Ethiopia,375019,2021/12/17
Moldova,374763,2021/12/27
Moldova,374526,2021/12/26
Egypt,374411,2021/12/18
Ethiopia,374402,2021/12/16
Moldova,374349,2021/12/25
Norway,374337,2021/12/26
Moldova,374120,2021/12/24
Ethiopia,373860,2021/12/15
Moldova,373752,2021/12/23
Egypt,373509,2021/12/17
Moldova,373373,2021/12/22
Moldova,372983,2021/12/21
Egypt,372599,2021/12/16
Moldova,372429,2021/12/20
Moldova,372200,2021/12/19
Moldova,372154,2021/12/18
Norway,372123,2021/12/25
Moldova,371850,2021/12/17
Egypt,371698,2021/12/15
Moldova,371410,2021/12/16
Moldova,370951,2021/12/15
Norway,370134,2021/12/24
Norway,367866,2021/12/23
Norway,363554,2021/12/22
Australia,361322,2021/12/29
Norway,359264,2021/12/21
Norway,354465,2021/12/20
Norway,350424,2021/12/19
Norway,347402,2021/12/18
Armenia,344737,2021/12/29
Armenia,344649,2021/12/28
Armenia,344540,2021/12/27
Armenia,344481,2021/12/26
Armenia,344379,2021/12/25
Armenia,344261,2021/12/24
Armenia,344126,2021/12/23
Armenia,343997,2021/12/22
Armenia,343845,2021/12/21
Armenia,343708,2021/12/20
Norway,343697,2021/12/17
Armenia,343636,2021/12/19
Armenia,343506,2021/12/18
Armenia,343350,2021/12/17
Armenia,343157,2021/12/16
Armenia,342977,2021/12/15
Australia,339953,2021/12/28
Norway,339008,2021/12/16
Norway,334488,2021/12/15
Australia,322275,2021/12/27
Australia,310478,2021/12/26
Oman,305357,2021/12/29
Oman,305253,2021/12/28
Oman,305174,2021/12/27
Oman,305105,2021/12/26
Oman,304984,2021/12/23
Oman,304984,2021/12/24
Oman,304984,2021/12/25
Oman,304938,2021/12/22
Oman,304896,2021/12/21
Oman,304874,2021/12/20
Oman,304843,2021/12/19
Oman,304783,2021/12/16
Oman,304783,2021/12/17
Oman,304783,2021/12/18
Oman,304761,2021/12/15
Australia,300594,2021/12/25
Australia,291135,2021/12/24
Bosnia and Herzegovina,289676,2021/12/29
Kenya,288951,2021/12/29
Bosnia and Herzegovina,288876,2021/12/28
Bosnia and Herzegovina,288128,2021/12/27
Bosnia and Herzegovina,287276,2021/12/24
Bosnia and Herzegovina,287276,2021/12/25
Bosnia and Herzegovina,287276,2021/12/26
Bosnia and Herzegovina,286792,2021/12/23
Bosnia and Herzegovina,286276,2021/12/22
Bosnia and Herzegovina,285724,2021/12/21
Kenya,285654,2021/12/28
Bosnia and Herzegovina,285133,2021/12/20
Bosnia and Herzegovina,284272,2021/12/17
Bosnia and Herzegovina,284272,2021/12/18
Bosnia and Herzegovina,284272,2021/12/19
Kenya,284150,2021/12/27
Bosnia and Herzegovina,283784,2021/12/16
Bosnia and Herzegovina,283109,2021/12/15
Kenya,282554,2021/12/26
Kenya,281358,2021/12/25
Australia,281280,2021/12/23
Bahrain,280876,2021/12/29
Bahrain,280482,2021/12/28
Bahrain,280109,2021/12/27
Bahrain,279805,2021/12/26
Bahrain,279518,2021/12/25
Bahrain,279277,2021/12/24
Bahrain,279056,2021/12/23
Bahrain,278875,2021/12/22
Singapore,278750,2021/12/29
Bahrain,278714,2021/12/21
Bahrain,278600,2021/12/20
Bahrain,278499,2021/12/19
Bahrain,278410,2021/12/18
Singapore,278409,2021/12/28
Bahrain,278309,2021/12/17
Bahrain,278257,2021/12/16
Bahrain,278202,2021/12/15
Singapore,278044,2021/12/27
Singapore,277764,2021/12/26
Kenya,277609,2021/12/24
Singapore,277555,2021/12/25
Singapore,277307,2021/12/24
Singapore,277042,2021/12/23
Singapore,276720,2021/12/22
Singapore,276385,2021/12/21
Singapore,276105,2021/12/20
Singapore,275910,2021/12/19
Singapore,275655,2021/12/18
Singapore,275384,2021/12/17
Singapore,274972,2021/12/16
Kenya,274645,2021/12/23
Singapore,274617,2021/12/15
Latvia,274271,2021/12/29
Australia,273062,2021/12/22
Latvia,272952,2021/12/28
Latvia,271766,2021/12/27
Latvia,271431,2021/12/26
Latvia,271228,2021/12/25
Latvia,271106,2021/12/24
Kenya,270899,2021/12/22
Latvia,270158,2021/12/23
Latvia,269204,2021/12/22
Latvia,268456,2021/12/21
Kenya,267571,2021/12/21
Latvia,267465,2021/12/20
Latvia,267139,2021/12/19
Latvia,266716,2021/12/18
Latvia,265806,2021/12/17
Latvia,264965,2021/12/16
Kenya,264727,2021/12/20
Australia,264705,2021/12/21
Latvia,264031,2021/12/15
Kenya,263707,2021/12/19
Kenya,262335,2021/12/18
Kenya,260166,2021/12/17
Australia,259174,2021/12/20
Kenya,258557,2021/12/16
Kenya,257614,2021/12/15
Australia,254682,2021/12/19
Australia,250651,2021/12/18
Qatar,249245,2021/12/29
Qatar,248802,2021/12/28
Qatar,248435,2021/12/27
Qatar,248092,2021/12/26
Qatar,247796,2021/12/25
Qatar,247517,2021/12/24
Qatar,247269,2021/12/23
Qatar,247082,2021/12/22
Qatar,246897,2021/12/21
Australia,246789,2021/12/17
Qatar,246714,2021/12/20
Qatar,246537,2021/12/19
Qatar,246367,2021/12/18
Qatar,246188,2021/12/17
Qatar,246024,2021/12/16
Qatar,245855,2021/12/15
Zambia,243638,2021/12/29
Australia,242772,2021/12/16
Nigeria,240387,2021/12/29
Finland,239339,2021/12/29
Nigeria,239019,2021/12/28
Australia,238970,2021/12/15
Estonia,238957,2021/12/29
Nigeria,238420,2021/12/27
Zambia,238383,2021/12/28
Estonia,238079,2021/12/28
Nigeria,237561,2021/12/26
Estonia,237099,2021/12/27
Finland,236755,2021/12/28
Estonia,236565,2021/12/26
Estonia,236133,2021/12/25
Nigeria,236014,2021/12/25
Estonia,235668,2021/12/24
Estonia,234958,2021/12/23
Nigeria,234709,2021/12/24
Zambia,234476,2021/12/27
Estonia,234092,2021/12/22
Finland,234041,2021/12/27
Estonia,233367,2021/12/21
Nigeria,233353,2021/12/23
Zambia,233120,2021/12/26
Estonia,232506,2021/12/20
Estonia,232120,2021/12/19
Estonia,231694,2021/12/18
Zambia,231581,2021/12/25
Nigeria,231413,2021/12/22
Estonia,231117,2021/12/17
Estonia,230514,2021/12/16
Finland,230392,2021/12/24
Finland,230392,2021/12/25
Finland,230392,2021/12/26
Estonia,229869,2021/12/15
Zambia,228932,2021/12/24
Finland,227169,2021/12/23
Zambia,225260,2021/12/23
Nigeria,225255,2021/12/20
Nigeria,225255,2021/12/21
Finland,224169,2021/12/22
North Macedonia,224134,2021/12/29
North Macedonia,223739,2021/12/28
Nigeria,223483,2021/12/19
North Macedonia,223330,2021/12/27
North Macedonia,223211,2021/12/26
North Macedonia,222932,2021/12/25
North Macedonia,222666,2021/12/24
Nigeria,222655,2021/12/17
Nigeria,222655,2021/12/18
North Macedonia,222333,2021/12/23
North Macedonia,222064,2021/12/22
Zambia,221880,2021/12/22
North Macedonia,221744,2021/12/21
North Macedonia,221411,2021/12/20
Finland,221292,2021/12/21
North Macedonia,221285,2021/12/19
North Macedonia,221095,2021/12/18
Nigeria,221071,2021/12/16
North Macedonia,220794,2021/12/17
North Macedonia,220467,2021/12/16
North Macedonia,220169,2021/12/15
Nigeria,220020,2021/12/15
Finland,219250,2021/12/20
Zambia,219023,2021/12/21
Algeria,217647,2021/12/29
Algeria,217265,2021/12/28
Zambia,217117,2021/12/20
Algeria,216930,2021/12/27
Algeria,216637,2021/12/26
Zambia,216508,2021/12/19
Algeria,216376,2021/12/25
Algeria,216098,2021/12/24
Algeria,215723,2021/12/23
Zambia,215472,2021/12/18
Algeria,215430,2021/12/22
Algeria,215145,2021/12/21
Algeria,214835,2021/12/20
Algeria,214592,2021/12/19
Zambia,214433,2021/12/17
Algeria,214330,2021/12/18
Algeria,214044,2021/12/17
Algeria,213745,2021/12/16
Algeria,213533,2021/12/15
Finland,213318,2021/12/17
Finland,213318,2021/12/18
Finland,213318,2021/12/19
Zambia,213139,2021/12/16
Botswana,212482,2021/12/27
Botswana,212482,2021/12/28
Botswana,212482,2021/12/29
Zambia,212278,2021/12/15
Finland,211239,2021/12/16
Finland,209258,2021/12/15
Botswana,208994,2021/12/23
Botswana,208994,2021/12/24
Botswana,208994,2021/12/25
Botswana,208994,2021/12/26
Albania,208899,2021/12/29
Albania,208352,2021/12/28
Albania,207709,2021/12/26
Albania,207709,2021/12/27
Zimbabwe,207548,2021/12/28
Zimbabwe,207548,2021/12/29
Albania,207542,2021/12/25
Albania,207221,2021/12/24
Albania,206935,2021/12/23
Albania,206616,2021/12/22
Albania,206273,2021/12/21
Albania,205897,2021/12/20
Albania,205777,2021/12/19
Albania,205549,2021/12/18
Zimbabwe,205449,2021/12/27
Albania,205224,2021/12/17
Albania,204928,2021/12/16
Botswana,204701,2021/12/20
Botswana,204701,2021/12/21
Botswana,204701,2021/12/22
Albania,204627,2021/12/15
Zimbabwe,204351,2021/12/26
Zimbabwe,203746,2021/12/25
Zimbabwe,202736,2021/12/24
Zimbabwe,201344,2021/12/23
Botswana,199864,2021/12/16
Botswana,199864,2021/12/17
Botswana,199864,2021/12/18
Botswana,199864,2021/12/19
Zimbabwe,199404,2021/12/22
Uzbekistan,198626,2021/12/29
Uzbekistan,198487,2021/12/28
Uzbekistan,198387,2021/12/27
Uzbekistan,198242,2021/12/26
Uzbekistan,198099,2021/12/25
Uzbekistan,197918,2021/12/24
Zimbabwe,197768,2021/12/21
Uzbekistan,197753,2021/12/23
Botswana,197644,2021/12/15
Uzbekistan,197566,2021/12/22
Uzbekistan,197392,2021/12/21
Uzbekistan,197268,2021/12/20
Uzbekistan,197074,2021/12/19
Uzbekistan,196900,2021/12/18
Uzbekistan,196739,2021/12/17
Uzbekistan,196522,2021/12/16
Uzbekistan,196303,2021/12/15
Zimbabwe,195079,2021/12/20
Zimbabwe,191673,2021/12/19
Zimbabwe,189567,2021/12/17
Zimbabwe,189567,2021/12/18
Kyrgyzstan,184592,2021/12/29
Kyrgyzstan,184552,2021/12/28
Kyrgyzstan,184506,2021/12/26
Kyrgyzstan,184506,2021/12/27
Kyrgyzstan,184439,2021/12/24
Kyrgyzstan,184439,2021/12/25
Kyrgyzstan,184356,2021/12/22
Kyrgyzstan,184356,2021/12/23
Kyrgyzstan,184269,2021/12/21
Kyrgyzstan,184218,2021/12/20
Kyrgyzstan,184195,2021/12/19
Kyrgyzstan,184163,2021/12/18
Kyrgyzstan,184123,2021/12/17
Kyrgyzstan,184094,2021/12/16
Kyrgyzstan,184055,2021/12/15
Zimbabwe,182057,2021/12/16
Mozambique,179272,2021/12/29
Zimbabwe,177690,2021/12/15
Mozambique,175648,2021/12/28
Mozambique,172175,2021/12/27
Mozambique,171502,2021/12/26
Mozambique,170975,2021/12/25
Mozambique,170077,2021/12/24
Mozambique,167307,2021/12/23
Montenegro,166581,2021/12/29
Montenegro,165074,2021/12/28
Mozambique,164862,2021/12/22
Montenegro,163954,2021/12/27
Montenegro,163373,2021/12/26
Montenegro,162828,2021/12/25
Mozambique,162525,2021/12/21
Montenegro,162364,2021/12/24
Montenegro,161944,2021/12/23
Montenegro,161672,2021/12/22
Kosovo,161389,2021/12/29
Montenegro,161364,2021/12/21
Kosovo,161356,2021/12/28
Kosovo,161343,2021/12/27
Kosovo,161339,2021/12/26
Kosovo,161327,2021/12/25
Kosovo,161311,2021/12/24
Kosovo,161298,2021/12/23
Kosovo,161294,2021/12/22
Kosovo,161274,2021/12/21
Kosovo,161265,2021/12/20
Kosovo,161262,2021/12/19
Kosovo,161258,2021/12/18
Kosovo,161246,2021/12/17
Kosovo,161235,2021/12/16
Kosovo,161227,2021/12/15
Montenegro,161127,2021/12/20
Montenegro,160995,2021/12/19
Montenegro,160818,2021/12/18
Montenegro,160655,2021/12/17
Montenegro,160457,2021/12/16
Mozambique,160457,2021/12/20
Montenegro,160270,2021/12/15
Mozambique,159904,2021/12/19
Mozambique,158111,2021/12/17
Mozambique,158111,2021/12/18
Afghanistan,158037,2021/12/29
Afghanistan,157998,2021/12/28
Afghanistan,157967,2021/12/27
Afghanistan,157951,2021/12/26
Cyprus,157928,2021/12/29
Afghanistan,157895,2021/12/25
Afghanistan,157887,2021/12/24
Afghanistan,157878,2021/12/23
Afghanistan,157841,2021/12/22
Afghanistan,157816,2021/12/21
Afghanistan,157797,2021/12/20
Afghanistan,157787,2021/12/19
Afghanistan,157745,2021/12/18
Afghanistan,157734,2021/12/17
Afghanistan,157725,2021/12/16
Afghanistan,157665,2021/12/15
Mozambique,156729,2021/12/16
Mozambique,155495,2021/12/15
Cyprus,154926,2021/12/28
Cyprus,152685,2021/12/27
Cyprus,150760,2021/12/26
Cyprus,149848,2021/12/25
Cyprus,149580,2021/12/24
Cyprus,148663,2021/12/23
Cyprus,147685,2021/12/22
Cyprus,146802,2021/12/21
Namibia,146720,2021/12/29
Namibia,146459,2021/12/28
Namibia,146097,2021/12/27
