country,totalCases,date
United Kingdom,11910000,2021/12/24
United Kingdom,11790000,2021/12/23
United Kingdom,11670000,2021/12/22
United Kingdom,11560000,2021/12/21
United Kingdom,11480000,2021/12/20
United Kingdom,11380000,2021/12/19
United Kingdom,11300000,2021/12/18
United Kingdom,11210000,2021/12/17
United Kingdom,11120000,2021/12/16
United Kingdom,11030000,2021/12/15
Russia,10280000,2021/12/29
Russia,10260000,2021/12/28
Russia,10240000,2021/12/27
Russia,10210000,2021/12/26
Russia,10190000,2021/12/25
Russia,10160000,2021/12/24
Russia,10140000,2021/12/23
Russia,10110000,2021/12/22
Russia,10090000,2021/12/21
Russia,10060000,2021/12/20
Russia,10040000,2021/12/19
Russia,10010000,2021/12/18
Russia,9980000,2021/12/17
Russia,9960000,2021/12/16
Russia,9930000,2021/12/15
Africa,9600000,2021/12/29
France,9580000,2021/12/29
Africa,9550000,2021/12/28
Africa,9510000,2021/12/27
Africa,9480000,2021/12/26
Africa,9450000,2021/12/25
Africa,9410000,2021/12/24
France,9370000,2021/12/28
Turkey,9370000,2021/12/28
Turkey,9370000,2021/12/29
Africa,9360000,2021/12/23
Turkey,9340000,2021/12/27
Africa,9310000,2021/12/22
Turkey,9310000,2021/12/26
Turkey,9270000,2021/12/24
Turkey,9270000,2021/12/25
Africa,9250000,2021/12/21
Turkey,9250000,2021/12/23
Turkey,9230000,2021/12/22
Africa,9220000,2021/12/20
Turkey,9210000,2021/12/21
Africa,9190000,2021/12/19
Turkey,9190000,2021/12/20
France,9190000,2021/12/27
Turkey,9170000,2021/12/19
Africa,9160000,2021/12/18
Turkey,9160000,2021/12/18
France,9160000,2021/12/26
Turkey,9140000,2021/12/17
Africa,9130000,2021/12/17
France,9130000,2021/12/25
Turkey,9120000,2021/12/16
Turkey,9100000,2021/12/15
Africa,9090000,2021/12/16
Africa,9040000,2021/12/15
France,9030000,2021/12/24
France,8930000,2021/12/23
France,8840000,2021/12/22
France,8760000,2021/12/21
France,8690000,2021/12/20
France,8670000,2021/12/19
France,8620000,2021/12/18
France,8560000,2021/12/17
France,8510000,2021/12/16
France,8440000,2021/12/15
Germany,7130000,2021/12/29
Germany,7060000,2021/12/28
Germany,7030000,2021/12/27
Germany,7010000,2021/12/26
Germany,7000000,2021/12/25
