country,newCases,date
Russia,27131,2021/12/18
Portugal,26867,2021/12/29
Russia,26744,2021/12/20
South Africa,26389,2021/12/15
South America,26138,2021/12/23
Italy,26104,2021/12/16
Turkey,26099,2021/12/27
Russia,25655,2021/12/21
Russia,25446,2021/12/23
Russia,25038,2021/12/22
Italy,24882,2021/12/26
South Africa,24785,2021/12/16
Russia,24771,2021/12/25
Russia,24522,2021/12/24
South America,24518,2021/12/21
Italy,24303,2021/12/19
Poland,24264,2021/12/15
Canada,24090,2021/12/24
Africa,23699,2021/12/26
Russia,23543,2021/12/26
South America,23442,2021/12/25
Denmark,23228,2021/12/29
Italy,23190,2021/12/15
Russia,23036,2021/12/27
Canada,22430,2021/12/23
Poland,22096,2021/12/16
Oceania,21867,2021/12/29
Russia,21751,2021/12/28
Germany,21742,2021/12/20
Greece,21732,2021/12/28
Australia,21369,2021/12/29
Sweden,21247,2021/12/28
South Africa,21156,2021/12/23
South Africa,21098,2021/12/22
Russia,20957,2021/12/29
South Africa,20713,2021/12/17
Denmark,20578,2021/12/21
Switzerland,20487,2021/12/20
Argentina,20263,2021/12/27
Poland,20027,2021/12/17
Turkey,19872,2021/12/15
Turkey,19859,2021/12/21
South America,19770,2021/12/22
Poland,19392,2021/12/18
Canada,19143,2021/12/27
Turkey,19095,2021/12/22
Turkey,18910,2021/12/24
South Africa,18847,2021/12/24
Turkey,18771,2021/12/23
Turkey,18762,2021/12/20
South America,18760,2021/12/26
Germany,18750,2021/12/27
South America,18738,2021/12/17
Turkey,18141,2021/12/17
Turkey,18100,2021/12/16
Poland,18013,2021/12/22
South America,17834,2021/12/15
Canada,17766,2021/12/28
Oceania,17732,2021/12/28
South America,17696,2021/12/16
Australia,17678,2021/12/28
Turkey,17644,2021/12/18
Switzerland,17636,2021/12/29
South America,17561,2021/12/18
Belgium,17390,2021/12/20
Low income,17374,2021/12/29
Germany,17238,2021/12/25
Portugal,17172,2021/12/28
Poland,17150,2021/12/23
Canada,17101,2021/12/20
Turkey,16910,2021/12/19
Czechia,16738,2021/12/15
Vietnam,16555,2021/12/22
Ireland,16428,2021/12/29
Vietnam,16377,2021/12/23
Netherlands,16325,2021/12/16
Vietnam,16325,2021/12/21
Argentina,16279,2021/12/24
Italy,16205,2021/12/20
Vietnam,16157,2021/12/24
Vietnam,16110,2021/12/19
South Africa,16080,2021/12/18
Poland,15976,2021/12/19
Vietnam,15895,2021/12/18
Germany,15716,2021/12/17
Netherlands,15708,2021/12/29
Vietnam,15586,2021/12/25
Poland,15567,2021/12/29
Vietnam,15527,2021/12/15
South Africa,15465,2021/12/19
South Africa,15423,2021/12/21
Canada,15396,2021/12/22
Poland,15376,2021/12/24
Netherlands,15367,2021/12/17
Vietnam,15236,2021/12/17
Vietnam,15218,2021/12/26
France,15075,2021/12/20
Vietnam,14977,2021/12/20
Vietnam,14872,2021/12/27
South Africa,14828,2021/12/25
Belgium,14760,2021/12/27
Netherlands,14636,2021/12/18
Vietnam,14440,2021/12/28
Vietnam,13889,2021/12/29
Poland,13807,2021/12/21
Ireland,13765,2021/12/25
India,13644,2021/12/19
Low income,13591,2021/12/28
Netherlands,13475,2021/12/15
Argentina,13456,2021/12/23
Low income,13425,2021/12/23
Denmark,13386,2021/12/22
Netherlands,13374,2021/12/22
Switzerland,13368,2021/12/28
Netherlands,13345,2021/12/23
Netherlands,13259,2021/12/19
India,13154,2021/12/29
Denmark,13000,2021/12/28
Belgium,12945,2021/12/29
Portugal,12943,2021/12/24
South America,12693,2021/12/20
Sweden,12681,2021/12/21
Netherlands,12564,2021/12/25
Denmark,12487,2021/12/23
Netherlands,12449,2021/12/24
Canada,12203,2021/12/21
Netherlands,12166,2021/12/20
Oceania,12082,2021/12/27
Low income,12037,2021/12/25
Netherlands,11886,2021/12/26
Belgium,11851,2021/12/15
Australia,11797,2021/12/27
Czechia,11652,2021/12/16
Switzerland,11565,2021/12/22
South America,11518,2021/12/19
Netherlands,11496,2021/12/27
Switzerland,11451,2021/12/23
Denmark,11229,2021/12/24
Denmark,11194,2021/12/17
Ireland,11182,2021/12/24
Switzerland,11167,2021/12/15
Argentina,11121,2021/12/22
Switzerland,11077,2021/12/16
Low income,10935,2021/12/24
Poland,10789,2021/12/25
Low income,10675,2021/12/27
Portugal,10549,2021/12/23
Ireland,10404,2021/12/26
Germany,10172,2021/12/26
Hungary,10105,2021/12/20
Denmark,10082,2021/12/20
Belgium,10040,2021/12/17
Portugal,10016,2021/12/25
Oceania,10015,2021/12/24
Denmark,9999,2021/12/16
Belgium,9965,2021/12/28
Switzerland,9943,2021/12/17
Oceania,9928,2021/12/26
Ukraine,9918,2021/12/16
Canada,9888,2021/12/25
Australia,9884,2021/12/26
Australia,9855,2021/12/24
Poland,9850,2021/12/28
Brazil,9761,2021/12/29
Poland,9610,2021/12/20
Belgium,9604,2021/12/18
Oceania,9595,2021/12/25
Czechia,9525,2021/12/17
Australia,9459,2021/12/25
Argentina,9336,2021/12/21
Canada,9325,2021/12/17
Netherlands,9313,2021/12/21
Greece,9284,2021/12/27
Netherlands,9220,2021/12/28
Ukraine,9215,2021/12/17
India,9195,2021/12/28
Czechia,9135,2021/12/29
Sweden,9103,2021/12/29
Brazil,9052,2021/12/28
South Africa,9020,2021/12/29
Ireland,9006,2021/12/28
Czechia,8993,2021/12/18
Portugal,8937,2021/12/22
Denmark,8773,2021/12/15
Denmark,8594,2021/12/18
Oceania,8545,2021/12/22
South Africa,8511,2021/12/20
Canada,8478,2021/12/26
Ukraine,8461,2021/12/15
Australia,8357,2021/12/22
Oceania,8340,2021/12/23
Low income,8225,2021/12/22
Australia,8218,2021/12/23
Denmark,8212,2021/12/19
Switzerland,8171,2021/12/21
Slovakia,8129,2021/12/16
Hungary,7989,2021/12/27
India,7974,2021/12/15
Ukraine,7806,2021/12/18
Low income,7739,2021/12/20
Greece,7660,2021/12/24
Argentina,7623,2021/12/26
South Korea,7622,2021/12/15
Belgium,7593,2021/12/23
Ukraine,7533,2021/12/23
Canada,7530,2021/12/16
Zimbabwe,7510,2021/12/17
India,7495,2021/12/22
South Korea,7450,2021/12/21
Canada,7449,2021/12/19
India,7447,2021/12/16
South Korea,7434,2021/12/16
Low income,7423,2021/12/21
Slovakia,7418,2021/12/23
Ireland,7411,2021/12/23
Ireland,7333,2021/12/18
South Korea,7313,2021/12/17
Peru,7258,2021/12/25
Belgium,7233,2021/12/24
Thailand,7221,2021/12/16
South Africa,7216,2021/12/28
India,7189,2021/12/24
Argentina,7183,2021/12/25
India,7145,2021/12/18
India,6987,2021/12/25
Brazil,6952,2021/12/27
South Korea,6913,2021/12/22
Czechia,6887,2021/12/28
Mexico,6883,2021/12/24
Ukraine,6828,2021/12/24
Ireland,6735,2021/12/27
India,6650,2021/12/23
